,queue,site,cloud,rse,datetime
116,IN2P3-LPC_LAKE,IN2P3-LPC,FR,IN2P3-LAPP_DATADISK,09-24-2021
117,IN2P3-LPSC,IN2P3-LPSC,FR,IN2P3-LPSC_DATADISK,09-24-2021
118,IN2P3-LPSC-TEST_ALPAMED,IN2P3-LPSC,FR,IN2P3-CC_DATALAKE_DATADISK,09-24-2021
118,IN2P3-LPSC-TEST_ALPAMED,IN2P3-LPSC,FR,IN2P3-LPSC_DATADISK,09-24-2021
118,IN2P3-LPSC-TEST_ALPAMED,IN2P3-LPSC,FR,FR-ALPES_DATADISK_DATALAKES,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,GRIF-LPNHE_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,IN2P3-CPPM_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,CERN-PROD_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,IN2P3-LPSC_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,UNI-FREIBURG_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,IN2P3-LAPP_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,IN2P3-CC_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,PRAGUELCG2_DATADISK,09-24-2021
119,IN2P3-LPSC-TEST_LAKE,IN2P3-LPSC,FR,IN2P3-LPC_DATADISK,09-24-2021
120,IN2P3-LPSC_LAKE,IN2P3-LPSC,FR,IN2P3-CPPM_DATADISK,09-24-2021
120,IN2P3-LPSC_LAKE,IN2P3-LPSC,FR,IN2P3-LPC_DATADISK,09-24-2021
120,IN2P3-LPSC_LAKE,IN2P3-LPSC,FR,IN2P3-LPSC_DATADISK,09-24-2021
120,IN2P3-LPSC_LAKE,IN2P3-LPSC,FR,IN2P3-LAPP_DATADISK,09-24-2021
121,INFN-CNAF,INFN-T1,IT,INFN-T1_DATADISK,09-24-2021
122,INFN-COSENZA-RECAS,INFN-COSENZA,IT,INFN-COSENZA_DATADISK,09-24-2021
123,INFN-FRASCATI,INFN-FRASCATI,IT,INFN-FRASCATI_DATADISK,09-24-2021
124,INFN-GENOVA,INFN-GENOVA,IT,INFN-GENOVA_DATADISK,09-24-2021
125,INFN-LECCE,INFN-LECCE,IT,INFN-NAPOLI-ATLAS_DATADISK,09-24-2021
126,INFN-MILANO-ATLASC,INFN-MILANO-ATLASC,IT,INFN-MILANO-ATLASC_DATADISK,09-24-2021
127,INFN-NAPOLI-ATLAS,INFN-NAPOLI-ATLAS,IT,INFN-NAPOLI-ATLAS_DATADISK,09-24-2021
128,INFN-ROMA1,INFN-ROMA1,IT,INFN-ROMA1_DATADISK,09-24-2021
129,INFN-ROMA3,INFN-ROMA3,IT,CERN-PROD_DATADISK,09-24-2021
129,INFN-ROMA3,INFN-ROMA3,IT,INFN-ROMA3_DATADISK,09-24-2021
130,INFN-T1_TEST,INFN-T1,IT,INFN-T1_DATADISK,09-24-2021
131,ITEP_PROD,ITEP,RU,RRC-KI-T1_DATADISK,09-24-2021
132,JINR,JINR-LCG2,RU,JINR-LCG2_DATADISK,09-24-2021
133,LRZ-LMU,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
134,LRZ-LMU_C2PAP,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
135,LRZ-LMU_C2PAP_ES,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
136,LRZ-LMU_C2PAP_ES_MCORE,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
137,LRZ-LMU_CLOUD,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
138,LRZ-LMU_MUC,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
139,LRZ-LMU_MUC_ES,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
140,LRZ-LMU_MUC_MCORE,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
141,LRZ-LMU_TEST,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
142,LRZ-LMU_VHIMEM,LRZ-LMU,DE,LRZ-LMU_DATADISK,09-24-2021
143,LRZ-LMU_XCACHE,LRZ-LMU,DE,MPPMU_DATADISK,09-24-2021
144,LUNARC,SE-SNIC-T2,ND,NDGF-T1_DATADISK,09-24-2021
145,MEPHI-TEST,ru-Moscow-MEPHI-LCG2,RU,JINR-LCG2_DATADISK,09-24-2021
146,MEPHI_XCACHE,ru-Moscow-MEPHI-LCG2,RU,JINR-LCG2_DATADISK,09-24-2021
147,MPPMU,MPPMU,DE,MPPMU_DATADISK,09-24-2021
148,MWT2,MWT2,US,MWT2_DATADISK,09-24-2021
149,MWT2_TEST,MWT2,US,MWT2_DATADISK,09-24-2021
150,MWT2_VHIMEM_UCORE,MWT2,US,MWT2_DATADISK,09-24-2021
151,NCG-INGRID-PT,NCG-INGRID-PT,ES,NCG-INGRID-PT_DATADISK,09-24-2021
152,NERSC_Cori_Test,LBNL_DSD_ITB,US,BNLHPC_DATADISK,09-24-2021
152,NERSC_Cori_Test,LBNL_DSD_ITB,US,SLACXRD_DATADISK,09-24-2021
153,NERSC_Cori_p2_ES,LBNL_DSD_ITB,US,BNLHPC_DATADISK,09-24-2021
153,NERSC_Cori_p2_ES,LBNL_DSD_ITB,US,SLACXRD_DATADISK,09-24-2021
154,NERSC_Cori_p2_ES_Test,LBNL_DSD_ITB,US,BNLHPC_DATADISK,09-24-2021
154,NERSC_Cori_p2_ES_Test,LBNL_DSD_ITB,US,SLACXRD_DATADISK,09-24-2021
155,NERSC_Cori_p2_mcore,LBNL_DSD_ITB,US,BNLHPC_DATADISK,09-24-2021
156,NET2,BU_ATLAS_Tier2,US,NESE_DATADISK,09-24-2021
156,NET2,BU_ATLAS_Tier2,US,NET2_DATADISK,09-24-2021
157,NIKHEF,NIKHEF-ELPROD,NL,NIKHEF_DATADISK,09-24-2021
158,NIKHEF_TEST,NIKHEF-ELPROD,NL,NIKHEF_DATADISK,09-24-2021
159,NSC,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
160,OU_OSCER_ATLAS,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS_DATADISK,09-24-2021
161,OU_OSCER_ATLAS_OPP,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS_DATADISK,09-24-2021
162,OU_OSCER_ATLAS_TEST,OU_OSCER_ATLAS,US,OU_OSCER_ATLAS_DATADISK,09-24-2021
163,PNPI-TEST,ru-PNPI_NoXCACHE,RU,JINR-LCG2_DATADISK,09-24-2021
164,PNPI_PROD,ru-PNPI,RU,RRC-KI-T1_DATADISK,09-24-2021
165,PNPI_XCACHE-NODE,ru-PNPI_XCACHE_NODES,RU,JINR-LCG2_DATADISK,09-24-2021
166,PNPI_XCACHE-TEST,ru-PNPI_XCACHE,RU,JINR-LCG2_DATADISK,09-24-2021
167,PRUE-TEST,ru-PRUE-DL,RU,JINR-LCG2_DATADISK,09-24-2021
168,PRUE-XCACHE,ru-PRUE-DL,RU,JINR-LCG2_DATADISK,09-24-2021
169,RAL,RAL-LCG2,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
170,RAL-LCG2_ES,RAL-LCG2,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
171,RAL-LCG2_MCORE,RAL-LCG2,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
172,RAL-LCG2_TEST,RAL-LCG2,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
173,RIVR.UM,RIVR.UM,ND,NDGF-T1_DATADISK,09-24-2021
174,RO-14-ITIM,RO-14-ITIM,FR,RO-07-NIPNE_DATADISK,09-24-2021
175,RO-16-UAIC,RO-16-UAIC,FR,RO-07-NIPNE_DATADISK,09-24-2021
176,ROMANIA07_HTCondor,RO-07-NIPNE,FR,RO-07-NIPNE_DATADISK,09-24-2021
177,RRC-KI-T1,RRC-KI-T1,RU,RRC-KI-T1_DATADISK,09-24-2021
178,RRC-KI-T1_TEST,RRC-KI-T1,RU,RRC-KI-T1_DATADISK,09-24-2021
179,SAMPA,SAMPA,ES,SAMPA_DATADISK,09-24-2021
179,SAMPA,SAMPA,ES,PIC_DATADISK,09-24-2021
180,SARA-MATRIX,SARA-MATRIX,NL,SARA-MATRIX_DATADISK,09-24-2021
181,SLAC,WT2,US,SLACXRD_DATADISK,09-24-2021
182,SLAC_ES,WT2,US,SLACXRD_DATADISK,09-24-2021
183,SWT2_CPB,SWT2_CPB,US,SWT2_CPB_DATADISK,09-24-2021
184,SWT2_PAUL_TEST,SWT2_CPB,US,SWT2_CPB_DATADISK,09-24-2021
185,SiGNET,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
186,SiGNET-NSC,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
187,SiGNET-NSC_MCORE,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
188,TACC-FRONTERA-TEST,TACC,US,BNLHPC_DATADISK,09-24-2021
189,TACC-FRONTERA-UCORE,TACC,US,BNLHPC_DATADISK,09-24-2021
190,TECHNION,TECHNION-HEP,NL,TECHNION-HEP_DATADISK,09-24-2021
191,TOKYO,TOKYO-LCG2,FR,TOKYO-LCG2_DATADISK,09-24-2021
192,TOKYO_HPC,TOKYO-LCG2,FR,TOKYO-LCG2_DATADISK,09-24-2021
193,TR-10-ULAKBIM_UCORE,TR-10-ULAKBIM,NL,TR-10-ULAKBIM_DATADISK,09-24-2021
194,TRIUMF,TRIUMF-LCG2,CA,TRIUMF-LCG2_DATADISK,09-24-2021
195,TRIUMF_SIM,TRIUMF-LCG2,CA,TRIUMF-LCG2_DATADISK,09-24-2021
196,TW-FTT,TW-FTT,TW,TAIWAN-LCG2_DATADISK,09-24-2021
197,Taiwan-LCG2,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
198,Taiwan-LCG2-HPC2_Unified,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
199,Taiwan-LCG2-HPC_Unified,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
200,Taiwan-LCG2_K8S_UCORE,Taiwan-LCG2,TW,TAIWAN-LCG2_DATADISK,09-24-2021
201,UAM,UAM-LCG2,ES,UAM-LCG2_DATADISK,09-24-2021
202,UAM_MareNostrum4,UAM-LCG2,ES,UAM-LCG2_DATADISK,09-24-2021
203,UIO_CLOUD,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
204,UIO_CLOUD_LOPRI,NDGF-T1,ND,NDGF-T1_DATADISK,09-24-2021
205,UKI-LT2-Brunel_SL7_UCORE,UKI-LT2-Brunel,UK,UKI-LT2-BRUNEL_DATADISK,09-24-2021
206,UKI-LT2-IC-HEP_SL7_UCORE,UKI-LT2-IC-HEP,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
207,UKI-LT2-QMUL,UKI-LT2-QMUL,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
208,UKI-LT2-QMUL_TEST,UKI-LT2-QMUL,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
209,UKI-LT2-RHUL,UKI-LT2-RHUL,UK,UKI-LT2-RHUL_DATADISK,09-24-2021
210,UKI-NORTHGRID-LANCS-HEP,UKI-NORTHGRID-LANCS-HEP,UK,UKI-NORTHGRID-LANCS-HEP_DATADISK,09-24-2021
211,UKI-NORTHGRID-LANCS-HEP_TEST,UKI-NORTHGRID-LANCS-HEP,UK,UKI-NORTHGRID-LANCS-HEP_DATADISK,09-24-2021
212,UKI-NORTHGRID-LIV-HEP,UKI-NORTHGRID-LIV-HEP,UK,UKI-NORTHGRID-LIV-HEP_DATADISK,09-24-2021
213,UKI-NORTHGRID-MAN-HEP,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
214,UKI-NORTHGRID-MAN-HEP_TEST,UKI-NORTHGRID-MAN-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
215,UKI-NORTHGRID-SHEF-HEP,UKI-NORTHGRID-SHEF-HEP,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
216,UKI-SCOTGRID-DURHAM_SL7_UCORE,UKI-SCOTGRID-DURHAM,UK,UKI-SCOTGRID-DURHAM_DATADISK,09-24-2021
217,UKI-SCOTGRID-ECDF,UKI-SCOTGRID-ECDF,UK,UKI-SCOTGRID-ECDF_DATADISK,09-24-2021
218,UKI-SCOTGRID-ECDF_CLOUD,UKI-SCOTGRID-ECDF,UK,UKI-SCOTGRID-ECDF_DATADISK,09-24-2021
219,UKI-SCOTGRID-GLASGOW_CEPH,UKI-SCOTGRID-GLASGOW,UK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,09-24-2021
220,UKI-SCOTGRID-GLASGOW_CEPH_TEST,UKI-SCOTGRID-GLASGOW,UK,UKI-SCOTGRID-GLASGOW-CEPH_DATADISK,09-24-2021
221,UKI-SOUTHGRID-BHAM-HEP_MCOREVAC,UKI-SOUTHGRID-BHAM-HEP,UK,UKI-NORTHGRID-MAN-HEP_DATADISK,09-24-2021
222,UKI-SOUTHGRID-OX-HEP,UKI-SOUTHGRID-OX-HEP,UK,RAL-LCG2-ECHO_DATADISK,09-24-2021
223,UKI-SOUTHGRID-RALPP,UKI-SOUTHGRID-RALPP,UK,UKI-SOUTHGRID-RALPP_DATADISK,09-24-2021
224,UKI-SOUTHGRID-SUSX_UCORE,UKI-SOUTHGRID-SUSX,UK,UKI-LT2-QMUL_DATADISK,09-24-2021
225,UNI-FREIBURG,UNI-FREIBURG,DE,UNI-FREIBURG_DATADISK,09-24-2021
226,UNI-FREIBURG_MCORE,UNI-FREIBURG,DE,UNI-FREIBURG_DATADISK,09-24-2021
227,UNIBE-LHEP,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
227,UNIBE-LHEP,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
228,UNIBE-LHEP-UBELIX,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
228,UNIBE-LHEP-UBELIX,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
229,UNIBE-LHEP-UBELIX_MCORE_LOPRI,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
229,UNIBE-LHEP-UBELIX_MCORE_LOPRI,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
230,UNIGE-BAOBAB,UNIBE-LHEP,ND,UNIBE-LHEP_DATADISK,09-24-2021
230,UNIGE-BAOBAB,UNIBE-LHEP,ND,NDGF-T1_DATADISK,09-24-2021
231,UTA_SWT2_UCORE,UTA_SWT2,US,UTA_SWT2_DATADISK,09-24-2021
232,UTA_SWT2_UCORE_RET,UTA_SWT2,US,SWT2_CPB_DATADISK,09-24-2021
233,Vega,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
234,Vega_MCORE,SiGNET,ND,CERN-PROD_DATADISK,09-24-2021
234,Vega_MCORE,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
235,Vega_largemem,SiGNET,ND,NDGF-T1_DATADISK,09-24-2021
236,WEIZMANN,WEIZMANN-LCG2,NL,TECHNION-HEP_DATADISK,09-24-2021
237,WISC_ATLAS_TOKEN,WISC-ATLAS,US,,09-24-2021
238,ZA-WITS-CORE,ZA-WITS-CORE,NL,ZA-WITS-CORE_DATADISK,09-24-2021
239,ifae,ifae,ES,IFAE_DATADISK,09-24-2021
240,pic,pic,ES,PIC_DATADISK,09-24-2021
241,pic_MareNostrum4,pic,ES,PIC_DATADISK,09-24-2021
242,praguelcg2,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
243,praguelcg2_Barbora_MCORE,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
244,praguelcg2_Karolina_MCORE,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
245,praguelcg2_Salomon_MCORE,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
246,praguelcg2_fzu_TEST,praguelcg2,DE,PRAGUELCG2_DATADISK,09-24-2021
247,test_LCRC,ANLASC,US,BNLHPC_DATADISK,09-24-2021
248,test_LCRC_ES,ANLASC,US,BNLHPC_DATADISK,09-24-2021
249,wuppertal,wuppertalprod,DE,WUPPERTALPROD_DATADISK,09-24-2021
250,wuppertalprod_CONDOR_TEST,wuppertalprod,DE,WUPPERTALPROD_DATADISK,09-24-2021
